Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.100000	0.786315	0.459526	70.181667	82.550000	
0.100000	0.461544	0.434739	82.811667	83.550000	
0.100000	0.402367	0.367344	85.030000	86.330000	
0.100000	0.382449	1.015981	85.940000	68.300000	
0.100000	0.367589	0.353993	86.440000	87.070000	
0.100000	0.350709	0.482629	87.130000	83.300000	
0.100000	0.347944	0.423047	87.258333	85.090000	
0.100000	0.340441	0.273928	87.521667	90.260000	
0.100000	0.332167	0.355058	87.970000	87.620000	
0.100000	0.328536	0.385421	88.105000	86.570000	
0.100000	0.330731	0.522399	87.823333	81.490000	
0.100000	0.322930	0.314491	88.196667	88.890000	
0.100000	0.321820	0.388923	88.348333	85.210000	
0.100000	0.322204	0.252744	88.286667	90.890000	
0.100000	0.322053	0.393139	88.215000	86.540000	
0.100000	0.315672	0.303312	88.445000	88.880000	
0.100000	0.310347	0.311660	88.645000	89.310000	
0.100000	0.311715	0.480634	88.626667	83.630000	
0.100000	0.314788	0.258794	88.593333	90.460000	
0.100000	0.308093	0.344832	88.765000	88.150000	
0.100000	0.304790	0.320680	88.910000	88.590000	
0.100000	0.301451	0.245582	89.038333	91.720000	
0.100000	0.304937	0.346279	88.778333	88.490000	
0.100000	0.304009	0.278531	88.931667	90.240000	
0.100000	0.304590	0.331313	88.911667	87.460000	
0.100000	0.300746	0.393824	89.053333	85.280000	
0.100000	0.297725	0.333596	89.136667	88.560000	
0.100000	0.298621	0.301333	89.155000	89.060000	
0.100000	0.292682	0.338174	89.336667	88.280000	
0.100000	0.292378	0.346154	89.261667	87.730000	
0.100000	0.302242	0.323471	88.950000	88.590000	
0.100000	0.295507	0.284764	89.321667	89.760000	
0.100000	0.296086	0.301688	89.143333	88.900000	
0.100000	0.289069	0.237517	89.513333	91.610000	
0.100000	0.287769	0.257242	89.575000	90.990000	
0.100000	0.291508	0.263866	89.355000	90.450000	
0.100000	0.290314	0.290339	89.466667	89.640000	
0.100000	0.289825	0.329480	89.340000	88.610000	
0.100000	0.293732	0.279417	89.253333	90.170000	
0.100000	0.291736	0.235069	89.351667	92.060000	
0.100000	0.291570	0.277904	89.380000	90.070000	
0.100000	0.291873	0.255988	89.325000	91.300000	
0.100000	0.294159	0.293985	89.126667	89.660000	
0.100000	0.288635	0.268826	89.398333	90.570000	
0.100000	0.287580	0.305046	89.645000	89.220000	
0.100000	0.292960	0.301493	89.325000	89.440000	
